row_id,Churn,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,services_count,services_count_minmax,services_count_z
1,1,0,0.0,0,0,32.0,0,False,True,False,False,False,True,False,True,0,0.0,-1.020871814608924
2,1,0,0.0,1,1,70.0,1,False,True,False,True,False,True,False,True,1,1.0,0.9795549114881584
3,1,1,0.0,1,0,51.0,0,False,False,True,False,False,False,False,True,0,0.0,-1.020871814608924
4,0,1,0.0,0,1,10.0,1,False,True,False,True,False,True,False,True,1,1.0,0.9795549114881584
5,0,0,0.0,1,1,19.0,0,False,True,False,False,True,False,False,True,0,0.0,-1.020871814608924
6,0,0,0.0,0,1,55.0,1,False,True,True,False,False,True,False,True,1,1.0,0.9795549114881584
7,0,1,0.0,1,1,56.0,0,True,False,True,False,False,True,True,False,0,0.0,-1.020871814608924
8,1,0,1.0,1,1,63.0,1,True,False,True,False,False,False,False,False,1,1.0,0.9795549114881584
9,1,0,0.0,0,1,34.0,0,False,True,False,True,False,False,False,True,0,0.0,-1.020871814608924
10,0,0,0.0,0,0,65.0,0,False,False,False,True,False,False,True,False,0,0.0,-1.020871814608924
11,1,0,1.0,1,0,62.0,1,False,False,True,False,True,False,False,False,1,1.0,0.9795549114881584
12,1,1,0.0,1,1,54.0,1,False,False,True,False,True,False,False,True,1,1.0,0.9795549114881584
13,1,1,1.0,0,0,8.0,1,False,False,False,True,False,False,True,False,1,1.0,0.9795549114881584
14,0,0,0.0,0,1,42.0,0,True,False,False,False,False,False,True,False,0,0.0,-1.020871814608924
15,0,0,0.0,0,1,59.0,0,True,False,True,False,True,False,False,True,0,0.0,-1.020871814608924
16,1,1,0.0,1,0,19.0,1,False,False,False,False,False,False,False,True,1,1.0,0.9795549114881584
17,0,0,0.0,0,1,2.0,1,False,True,False,True,True,False,True,False,1,1.0,0.9795549114881584
18,0,0,1.0,1,0,45.0,1,False,False,False,True,False,True,True,False,1,1.0,0.9795549114881584
19,1,1,1.0,1,0,54.0,0,False,True,True,False,False,False,True,False,0,0.0,-1.020871814608924
20,0,1,1.0,1,1,46.0,0,False,True,False,False,False,False,False,False,0,0.0,-1.020871814608924
21,0,0,1.0,0,0,22.0,0,False,True,True,False,False,False,False,True,0,0.0,-1.020871814608924
22,0,1,0.0,1,1,59.0,1,False,False,False,False,False,False,False,False,1,1.0,0.9795549114881584
23,1,0,0.0,0,1,31.0,0,False,True,True,False,False,True,False,False,0,0.0,-1.020871814608924
24,1,1,1.0,0,0,52.0,0,False,True,False,False,False,False,False,False,0,0.0,-1.020871814608924
25,0,0,1.0,0,1,21.0,1,False,True,True,False,False,True,False,False,1,1.0,0.9795549114881584
26,1,0,1.0,0,1,16.0,0,True,False,False,True,False,False,False,False,0,0.0,-1.020871814608924
27,1,1,1.0,1,0,16.0,1,True,False,False,True,False,True,True,False,1,1.0,0.9795549114881584
28,0,0,1.0,0,1,56.0,0,True,False,False,False,False,False,False,False,0,0.0,-1.020871814608924
29,0,0,0.0,1,1,56.0,1,False,False,True,False,False,False,False,False,1,1.0,0.9795549114881584
30,1,1,1.0,0,1,37.0,1,False,False,True,False,True,False,False,True,1,1.0,0.9795549114881584
31,0,0,1.0,1,1,11.0,0,False,True,False,False,False,False,False,True,0,0.0,-1.020871814608924
32,1,1,0.0,0,0,32.0,1,True,False,True,False,False,False,True,False,1,1.0,0.9795549114881584
33,0,0,1.0,1,1,23.0,1,False,False,False,False,True,False,True,False,1,1.0,0.9795549114881584
34,1,0,0.0,0,1,70.0,0,False,True,True,False,False,False,True,False,0,0.0,-1.020871814608924
35,0,1,1.0,1,0,40.0,1,True,False,False,True,True,False,False,True,1,1.0,0.9795549114881584
36,0,1,1.0,0,1,14.0,1,True,False,False,False,True,False,False,False,1,1.0,0.9795549114881584
37,0,0,0.0,1,0,29.0,1,False,True,False,False,False,True,True,False,1,1.0,0.9795549114881584
38,0,0,1.0,1,1,47.0,1,False,False,False,False,True,False,False,True,1,1.0,0.9795549114881584
39,0,0,0.0,1,0,12.0,0,True,False,False,True,False,False,True,False,0,0.0,-1.020871814608924
40,0,0,1.0,0,1,42.0,0,True,False,False,True,True,False,True,False,0,0.0,-1.020871814608924
41,0,0,1.0,1,1,47.0,0,True,False,True,False,False,False,False,False,0,0.0,-1.020871814608924
42,0,0,1.0,0,0,58.0,1,False,False,False,False,False,False,False,True,1,1.0,0.9795549114881584
43,1,1,1.0,0,0,35.0,1,True,False,False,True,False,False,False,False,1,1.0,0.9795549114881584
44,0,0,1.0,1,0,27.0,0,False,False,True,False,False,False,False,True,0,0.0,-1.020871814608924
45,1,1,1.0,0,1,8.0,1,True,False,True,False,False,True,False,False,1,1.0,0.9795549114881584
46,1,1,1.0,0,1,11.0,0,True,False,False,False,False,True,True,False,0,0.0,-1.020871814608924
47,1,1,1.0,0,1,15.0,0,True,False,True,False,False,True,False,False,0,0.0,-1.020871814608924
48,1,1,0.0,0,1,56.0,0,True,False,False,False,True,False,False,False,0,0.0,-1.020871814608924
49,0,1,1.0,1,1,35.0,1,False,False,True,False,True,False,False,True,1,1.0,0.9795549114881584
50,0,1,0.0,1,0,43.0,1,False,False,False,True,True,False,False,True,1,1.0,0.9795549114881584
51,1,0,1.0,0,0,47.0,0,False,False,False,False,False,False,False,True,0,0.0,-1.020871814608924
52,1,1,1.0,0,0,52.0,0,True,False,True,False,False,False,False,True,0,0.0,-1.020871814608924
53,0,0,0.0,1,0,15.0,0,False,False,False,False,False,True,True,False,0,0.0,-1.020871814608924
54,0,1,1.0,1,1,63.0,1,True,False,False,True,False,True,False,False,1,1.0,0.9795549114881584
55,0,1,0.0,0,0,49.0,0,True,False,False,False,False,False,False,False,0,0.0,-1.020871814608924
56,1,1,0.0,0,0,55.0,0,False,True,True,False,False,True,False,False,0,0.0,-1.020871814608924
57,1,1,1.0,0,1,57.0,0,True,False,True,False,False,True,False,False,0,0.0,-1.020871814608924
58,1,0,0.0,1,0,54.0,1,False,True,True,False,False,True,True,False,1,1.0,0.9795549114881584
59,1,0,1.0,1,0,55.0,1,False,True,True,False,False,True,False,False,1,1.0,0.9795549114881584
60,0,1,1.0,1,0,69.0,1,False,False,True,False,True,False,False,False,1,1.0,0.9795549114881584
61,1,1,0.0,0,0,72.0,1,False,False,False,False,False,True,False,False,1,1.0,0.9795549114881584
62,1,1,1.0,0,0,33.0,0,False,True,False,True,False,True,False,False,0,0.0,-1.020871814608924
63,0,0,1.0,1,0,25.0,0,False,False,False,False,False,False,False,False,0,0.0,-1.020871814608924
64,1,1,0.0,1,0,11.0,1,False,True,False,False,False,False,False,False,1,1.0,0.9795549114881584
65,1,1,0.0,0,0,61.0,0,False,False,True,False,False,True,False,True,0,0.0,-1.020871814608924
66,1,1,1.0,0,0,22.0,0,False,True,True,False,False,False,False,True,0,0.0,-1.020871814608924
67,0,0,0.0,0,0,33.0,1,False,False,True,False,False,True,False,True,1,1.0,0.9795549114881584
68,0,1,1.0,1,1,60.0,1,False,False,False,False,False,True,True,False,1,1.0,0.9795549114881584
69,0,1,0.0,1,1,2.0,0,True,False,True,False,False,False,False,True,0,0.0,-1.020871814608924
70,1,1,0.0,0,0,13.0,0,False,False,False,True,True,False,False,True,0,0.0,-1.020871814608924
71,0,1,1.0,1,0,57.0,1,False,False,False,False,False,True,False,False,1,1.0,0.9795549114881584
72,1,1,1.0,0,1,18.0,0,True,False,False,True,False,False,False,False,0,0.0,-1.020871814608924
73,1,1,1.0,1,1,43.0,1,False,False,False,False,False,False,False,True,1,1.0,0.9795549114881584
74,1,1,1.0,0,0,48.0,0,False,False,False,True,True,False,True,False,0,0.0,-1.020871814608924
75,1,1,0.0,1,0,2.0,0,False,False,False,True,False,True,True,False,0,0.0,-1.020871814608924
76,0,1,1.0,1,0,22.0,0,True,False,True,False,False,True,True,False,0,0.0,-1.020871814608924
77,0,1,1.0,0,1,32.0,1,False,True,True,False,True,False,True,False,1,1.0,0.9795549114881584
78,1,0,1.0,1,0,42.0,0,True,False,False,False,False,False,False,False,0,0.0,-1.020871814608924
79,0,1,1.0,1,0,47.0,1,True,False,False,True,True,False,False,True,1,1.0,0.9795549114881584
80,0,1,1.0,0,0,24.0,1,False,False,False,True,False,False,False,False,1,1.0,0.9795549114881584
81,0,1,1.0,0,1,71.0,1,True,False,False,True,False,True,False,False,1,1.0,0.9795549114881584
82,1,0,0.0,1,0,34.0,1,True,False,True,False,False,True,False,False,1,1.0,0.9795549114881584
83,0,0,0.0,0,1,19.0,1,False,True,True,False,True,False,True,False,1,1.0,0.9795549114881584
84,0,0,1.0,0,1,25.0,1,False,False,True,False,False,False,False,False,1,1.0,0.9795549114881584
85,1,1,1.0,0,1,11.0,1,False,False,True,False,True,False,True,False,1,1.0,0.9795549114881584
86,0,1,1.0,0,0,7.0,0,False,True,True,False,False,True,True,False,0,0.0,-1.020871814608924
87,0,1,1.0,1,1,23.0,1,True,False,False,True,True,False,True,False,1,1.0,0.9795549114881584
88,0,0,0.0,1,1,58.0,1,False,False,True,False,False,True,False,False,1,1.0,0.9795549114881584
89,1,1,0.0,0,1,8.0,1,False,False,False,True,False,True,False,False,1,1.0,0.9795549114881584
90,0,1,0.0,0,1,2.0,0,False,True,True,False,True,False,False,True,0,0.0,-1.020871814608924
91,0,0,0.0,1,1,22.0,0,False,False,False,False,False,False,False,False,0,0.0,-1.020871814608924
92,0,1,1.0,0,0,36.0,0,False,True,False,False,True,False,False,True,0,0.0,-1.020871814608924
93,1,1,0.0,0,0,23.0,1,True,False,False,False,False,False,True,False,1,1.0,0.9795549114881584
94,1,0,1.0,1,1,26.0,0,False,True,False,False,True,False,False,False,0,0.0,-1.020871814608924
95,0,1,1.0,0,0,11.0,0,False,True,False,True,False,True,True,False,0,0.0,-1.020871814608924
96,0,1,0.0,0,0,22.0,0,True,False,False,True,False,False,True,False,0,0.0,-1.020871814608924
97,1,1,1.0,0,1,24.0,1,True,False,True,False,False,False,False,True,1,1.0,0.9795549114881584
98,0,0,1.0,1,0,66.0,0,False,False,False,True,False,True,False,True,0,0.0,-1.020871814608924
99,1,0,1.0,0,0,61.0,1,False,False,False,False,False,False,False,False,1,1.0,0.9795549114881584
100,1,1,0.0,0,1,38.0,0,False,True,True,False,False,False,True,False,0,0.0,-1.020871814608924
101,0,0,1.0,1,1,21.0,0,False,True,False,False,False,False,False,True,0,0.0,-1.020871814608924
102,0,0,1.0,0,1,62.0,1,False,True,False,True,False,False,True,False,1,1.0,0.9795549114881584
103,0,1,1.0,0,0,2.0,1,False,False,False,True,True,False,False,False,1,1.0,0.9795549114881584
104,0,1,0.0,1,1,29.0,1,False,True,True,False,False,False,True,False,1,1.0,0.9795549114881584
105,1,0,1.0,0,1,14.0,0,False,True,True,False,False,True,False,False,0,0.0,-1.020871814608924
106,0,0,1.0,1,1,64.0,1,False,False,False,True,False,True,False,False,1,1.0,0.9795549114881584
107,0,1,0.0,1,0,41.0,1,True,False,True,False,False,False,False,False,1,1.0,0.9795549114881584
108,0,0,0.0,0,0,14.0,0,False,True,False,True,True,False,False,False,0,0.0,-1.020871814608924
109,0,1,0.0,1,1,12.0,0,True,False,False,True,False,True,True,False,0,0.0,-1.020871814608924
110,1,0,1.0,0,1,64.0,1,False,True,False,True,False,False,False,False,1,1.0,0.9795549114881584
111,1,0,0.0,1,0,53.0,0,False,True,False,False,False,False,True,False,0,0.0,-1.020871814608924
112,1,1,1.0,0,1,30.0,1,False,True,False,True,False,False,False,False,1,1.0,0.9795549114881584
113,1,0,0.0,1,1,21.0,1,False,False,False,False,False,False,False,False,1,1.0,0.9795549114881584
114,1,1,1.0,0,1,63.0,0,False,False,False,True,False,False,False,True,0,0.0,-1.020871814608924
115,0,0,1.0,0,0,16.0,1,False,True,False,False,False,True,False,True,1,1.0,0.9795549114881584
116,1,0,0.0,1,1,9.0,1,False,True,False,True,False,True,False,False,1,1.0,0.9795549114881584
117,0,1,1.0,0,0,13.0,1,False,False,True,False,False,True,True,False,1,1.0,0.9795549114881584
118,1,1,0.0,0,1,31.0,1,False,False,False,False,False,False,False,False,1,1.0,0.9795549114881584
119,0,1,1.0,0,1,3.0,1,True,False,False,False,True,False,False,True,1,1.0,0.9795549114881584
120,1,1,0.0,1,1,30.0,0,True,False,False,True,True,False,True,False,0,0.0,-1.020871814608924
121,0,0,1.0,0,0,31.0,1,False,True,True,False,False,False,True,False,1,1.0,0.9795549114881584
122,1,1,1.0,0,0,63.0,0,True,False,True,False,True,False,True,False,0,0.0,-1.020871814608924
123,1,1,0.0,0,1,19.0,0,False,True,False,False,True,False,False,False,0,0.0,-1.020871814608924
124,1,1,0.0,1,1,53.0,1,True,False,True,False,False,True,False,True,1,1.0,0.9795549114881584
125,1,0,0.0,1,1,6.0,0,False,True,False,False,True,False,False,False,0,0.0,-1.020871814608924
126,1,0,1.0,1,0,9.0,1,True,False,True,False,False,True,False,True,1,1.0,0.9795549114881584
127,1,1,1.0,1,0,20.0,1,False,True,False,True,False,True,False,False,1,1.0,0.9795549114881584
128,0,0,1.0,0,1,58.0,1,False,False,True,False,False,False,False,True,1,1.0,0.9795549114881584
